Accession,TAA_coef,TAA_p,TGA_coef,TGA_p,TAG_coef,TAG_p,STD_GC3,Mean_GC3
CP002999,-0.02578776135171115,0.0006456575306787603,0.015899896179438773,0.1037501187045768,0.023311208069377896,0.009519833358671724,6.657312891093424,43.1604716737802
CP006569,-0.01647294803772599,0.0003967197444403476,0.012819363473171265,0.010597552633235226,0.010533635141024764,0.11336041646216485,8.713976033257305,67.2102547221445
CP001684,-0.0022163730051580053,0.6884954071706006,-0.02692473343043351,0.0006198317309429261,0.014497359641660284,0.009169207683788625,8.733588284304417,77.75462379883928
AP009484,-0.035927096113458505,0.0015506279392653495,0.05320061072421886,0.002573942653374566,0.0185415880307478,0.14780595016452447,5.990613293915275,30.775165231510343
CP002361,-0.04067499318483493,0.00033707496608604187,0.02150377072760681,0.06195898252463308,0.0143504210710641,0.22525191896354257,6.928544851718222,92.23134070638817
CP002542,-0.05645288232512416,3.955328612380547e-11,0.04225839855971624,8.514495596179124e-05,0.04430978537324758,7.202971791491404e-06,5.358872643788834,30.774945235083436
AP009384,-0.07087586081548139,6.464213320295378e-13,0.06578280906057035,2.8027182734893736e-16,-0.03955838753362577,1.6896330798608356e-05,5.652294929897236,85.58033965760322
CP007161,-0.05040359544782025,2.6127042685703505e-10,0.02668825728039933,0.01753885809993069,0.04726664094522264,7.552850221168545e-08,5.410471706179302,30.956093857238123
CP009962,-0.008444071396162689,0.03980004224996249,0.008543218325390855,0.0469146724732271,0.000941053655123779,0.8627134604808221,8.506247483631663,66.21716450862574
AP012304,-0.010882134995518575,0.10764077225508403,0.024784547985410715,2.4468889225497533e-05,-0.02937032375175398,9.402051157632858e-05,7.768344588139477,81.968216734408
CP002810,-0.07275431891842676,0.06100739219837712,-0.010983868209607249,0.5931131511178837,0.027597456289768556,0.2279571868428305,3.567953926464927,96.07617768264853
CP007481,-0.010009369328039138,0.5942980553924937,-0.008832610192704846,0.6432090144040694,0.017660204005621585,0.33496704032232716,4.7968821040314715,40.48031791456714
AP012333,-0.012118538067808611,0.04227430066951558,0.0008091604783352163,0.8825202470178372,0.012508618725160786,0.059711038720464064,11.228508081658662,73.04844261105173
CP001619,-0.024068886521009334,2.982638715308214e-08,0.015089485759695159,0.0020212483702412506,0.01623715093014552,0.0016162593153950992,8.041064591294411,62.60272180978044
CP003796,-0.030130060519090594,0.15618660454135427,-0.004749236092212063,0.8999489908558004,0.03558965205012461,0.11357428434407098,4.327853776300011,31.93962327203009
CP000544,-0.008083807658947862,0.37994615776600404,0.0026798423568634273,0.7296873987036929,0.0036866237638850745,0.6778810230324468,8.005486025967128,84.64422625602144
CP004025,-0.00255117444529926,0.8224728260124746,-0.022275168004391412,0.00015875565442076723,0.025915944434335828,4.4356678806287926e-05,5.89357102061708,89.47126440263348
CP001364,-0.005214197982553633,0.41059370873432555,-0.01016497556732914,0.08912535937171637,0.01578162844998388,0.01101385793057537,6.806189046373594,60.577016873955216
CP003096,-0.0007641990245010243,0.9390382473766605,-0.012537924393247933,0.3093741929886956,0.010705968249142885,0.326978653239292,7.534061669423483,50.89352748967681
AP009153,0.06552599588691066,1.8500734169336779e-06,-0.013582366265693806,0.1524270859421277,-0.026290736630328423,0.01462816782910264,4.9490586287258616,76.88042010163001
CP007128,-0.0342382395465467,0.0824737662920217,-0.0015242416398793116,0.9130002657950309,0.02148417250910297,0.19846214257206785,3.33858030485804,94.21272680715514
AP014521,0.02164359251556335,0.6607477065841807,-0.0534907747377092,0.45738314669287916,0.006884205518058802,0.9104214270578121,2.5952122261024906,12.049710176049013
CP003156,-0.047813794356423765,4.833790132831324e-07,0.057773211329210865,7.499813001242119e-05,0.0269124390181002,0.00699023871478441,5.143894551408029,36.82714075469933
AP014648,-0.004680757617476679,0.5860884181330451,-0.036700701108096014,1.5397677183717613e-06,0.03654530170223221,1.022181315861108e-06,6.497495432303,77.77875657547047
CP002985,-0.012258615270384018,0.0344498256468356,0.015889265092072235,0.005385515535480765,-0.006675934411931228,0.34271025403189415,9.689851691445279,61.568675707256176
CP003075,-0.02280803270699464,0.005304769819973868,-0.0014104083703967382,0.8431372528245799,0.02135443260660926,0.006483415567400243,6.298348781901143,74.2003606389285
CP003349,-0.027184766015756586,0.0010598755029837862,0.0052987189830444445,0.6836598969562664,0.03147244158580409,0.0006854915249324551,4.772457181219269,31.80086765244493
CP002162,-0.06114589956869253,9.094374455892349e-08,0.06270808402248085,5.540328974001628e-15,-0.05058345040494619,2.275380916193198e-08,4.987164686411882,92.92154833347416
CP003742,-0.013672517358831016,0.02846349807626122,0.014457092093549432,0.019997189427321066,-0.0015055556196851706,0.8361156078210722,6.426151212761975,61.622742524948364
FM178379,-0.0503429696207788,2.806204372757422e-05,0.01961843291083312,0.31939171061585303,0.055686439284001306,4.096011994571162e-05,4.57489490170209,31.25075876036813
AP012046,-0.05907912526192444,5.555669457894229e-11,0.05766929972434441,1.12140856438793e-07,0.033693973272694765,0.000784431634180575,5.906543347467007,27.721179330228967
CP001632,-0.031554513409208826,6.356796525742421e-05,0.02496758721982041,0.05464063696887107,0.026716688399334314,0.0019075131543432016,7.681721602409861,37.942449092663026
CP000747,-0.07409326795183317,2.8676472028599054e-07,-0.019641877846696847,0.09271206295401653,0.07906197733008137,1.6584091439220348e-07,4.4376771849593855,93.75027817322798
CP001726,-0.008343405737762946,0.13302550601454682,-0.018908978645972484,0.0011359330446257295,0.021939181967936577,4.3874349654326516e-05,9.036758681485303,85.09596244650567
CP001650,-0.0317615885666531,5.7735665525852175e-06,0.018350446156975696,0.08491433473345954,0.030397298348374242,9.973683667264983e-05,5.754319938578585,30.82374537843384
FO203503,-0.015515726980769242,0.0035500151293242823,0.01761709252202099,0.002765961099751103,0.0022053851957159094,0.7617211649049171,7.696025798609496,40.787383819240155
CP000153,-0.04417487782569095,0.00963150566444482,-0.008806049942496848,0.7340738203262518,0.05741820475398058,0.002121839157452532,4.626521476623404,25.425114861501296
AP009178,-0.03220126641666275,0.04399180350146038,0.01058188617194587,0.5572365239370116,0.04240174360759714,0.04878306943605641,6.7879116572883555,36.53261266972792
CP000319,-0.015323997586232069,0.01003911256964863,0.006106590655071314,0.20638679409656768,0.004626287079480925,0.3878080977382715,8.155857663752432,75.70930010645075
CP002382,0.01631203952901603,0.022628428760409214,-0.01875590168131722,0.021897104672553392,-0.0047463523215067185,0.6397273708607969,8.13583112064446,63.35342092857145
CP002859,-0.00772120824661107,0.03892915805260878,-0.002048291239497294,0.6479833904227552,0.01334386291006008,0.003569441390219326,8.874486523966366,51.98950218614478
CP000061,-0.030619042587468302,0.11422720269743687,0.0025891003813660017,0.9161237343877935,0.05781442688431307,0.030432167437293465,5.854433511186412,19.371994276312595
